ngo_id,latest_financial_year,reports_count,total_income,total_expenditure,income_scale,programme_expense_ratio,administrative_expense_ratio,fundraising_expense_ratio,employee_expense_ratio,surplus_margin,year_over_year_income_growth,year_over_year_expense_growth,cash_to_expense_ratio,grant_dependency_ratio,fcra_dependency_ratio,asset_to_income_ratio,financial_missingness_ratio,accounting_reconciliation_error,audit_status,primary_sector,peer_group,peer_group_fallback_level,peer_group_size,peer_median_programme_ratio,peer_median_admin_ratio,financial_anomaly_score,financial_anomaly_label
NGO_00001,FY2025-26,1,1199657.75,1093974.81,Small,0.8351,0.102,0.0118,0.0823,0.0881,,,0.2947,0.6818,0.0,1.586,0.0,0.0,Clean,Skill Development & Livelihood,Skill Development & Livelihood_Small,specific,10,0.7362,0.0976,0.0956,Normal
NGO_00002,FY2025-26,2,1128336.44,1087066.84,Small,0.7088,0.1112,0.0254,0.0758,0.0366,-0.0614,-0.1078,0.384,0.6944,0.0,1.3228,0.0,0.0,Qualified,Skill Development & Livelihood,Skill Development & Livelihood_Small,specific,10,0.7362,0.0976,0.1266,Normal
NGO_00003,FY2025-26,2,41026662.99,38406931.72,Medium,0.8328,0.065,0.0185,0.0691,0.0639,0.0838,0.1143,0.1793,0.7376,0.0,0.3658,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.0914,Normal
NGO_00004,,0,,,Unknown,,,,,,,,,,,,1.0,0.0,No Reports Available,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.0,Outlier
NGO_00005,FY2025-26,2,9864303.19,10035556.93,Medium,0.854,0.0751,0.026,0.0785,-0.0174,0.1994,0.213,0.4181,0.4813,0.0,1.7356,0.0,0.0,Qualified,Women Empowerment,Women Empowerment_Medium,specific,14,0.8186,0.1006,0.1231,Normal
NGO_00006,FY2025-26,3,44876160.91,42358817.21,Medium,0.7732,0.0545,0.0439,0.055,0.0561,-0.039,-0.0416,0.5507,0.4204,0.0,1.1586,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1239,Normal
NGO_00007,FY2025-26,1,265507168.58,235172889.14,Large,0.8032,0.1225,0.0326,0.0878,0.1143,,,0.4164,0.6289,0.0,1.4911,0.0,0.0,Clean,Education,Education_Broad,sector_broad,14,0.7772,0.104,0.0809,Normal
NGO_00008,FY2025-26,2,25167854.73,24765253.34,Medium,0.7352,0.0707,0.0226,0.0833,0.016,-0.1465,-0.0477,0.6254,0.4907,0.0,0.2362,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.1373,Normal
NGO_00009,FY2025-26,2,1550407.13,1466092.45,Small,0.7871,0.1242,0.0276,0.0953,0.0544,0.1985,0.1799,0.302,0.3739,0.0,0.6111,0.0,0.0,Clean,Disaster Relief & Rehabilitation,Disaster Relief & Rehabilitation_Broad,sector_broad,11,0.795,0.124,0.128,Normal
NGO_00010,FY2025-26,2,2335958.09,2221855.24,Small,0.7239,0.0996,0.0469,0.063,0.0488,-0.0028,0.053,0.5897,0.6839,0.0,0.6003,0.0,0.0,Clean,Child Welfare,Child Welfare_Broad,sector_broad,13,0.7845,0.0993,0.1101,Normal
NGO_00011,FY2025-26,2,238039753.7,221966774.55,Large,0.8426,0.0541,0.0217,0.0878,0.0675,-0.0379,-0.05,0.2228,0.5275,0.0,1.63,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Broad,sector_broad,36,0.7875,0.0759,0.0746,Normal
NGO_00012,FY2025-26,3,30079067.81,29145309.75,Medium,0.8498,0.0795,0.0359,0.0766,0.031,0.0758,0.0593,0.3821,0.5386,0.0,0.3583,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.145,Normal
NGO_00013,FY2025-26,5,3348845.26,3147067.16,Small,0.741,0.0908,0.0138,0.065,0.0603,0.1755,0.1523,0.4826,0.5306,0.0,1.0503,0.0,0.0,Qualified,Education,Education_Broad,sector_broad,14,0.7772,0.104,0.1637,Normal
NGO_00014,FY2025-26,2,3349511.0,3380934.76,Small,0.7689,0.1179,0.028,0.0856,-0.0094,0.0222,0.0922,0.4322,0.4209,0.0,1.0774,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1445,Normal
NGO_00015,FY2025-26,5,42580392.2,42143178.88,Medium,0.8095,0.1373,0.0401,0.0766,0.0103,0.05,0.0235,0.267,0.3675,0.0,1.5297,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.1111,Normal
NGO_00016,FY2025-26,2,688576.74,623956.85,Small,0.752,0.0896,0.0236,0.0974,0.0938,0.1787,0.1573,0.496,0.6697,0.0,1.6485,0.0,0.0,Clean,Skill Development & Livelihood,Skill Development & Livelihood_Small,specific,10,0.7362,0.0976,0.0994,Normal
NGO_00017,FY2025-26,1,36929321.91,33168734.17,Medium,0.745,0.1015,0.0493,0.068,0.1018,,,0.5921,0.4447,0.0,0.9862,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.0994,Normal
NGO_00018,FY2025-26,2,281306710.64,260125523.53,Large,0.7636,0.0806,0.0445,0.0486,0.0753,0.0697,0.0813,0.644,0.6254,0.2747,0.6042,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.0533,Borderline
NGO_00019,FY2025-26,3,23062418.79,21876515.34,Medium,0.8317,0.1034,0.0304,0.0704,0.0514,-0.0293,-0.0695,0.4315,0.5072,0.0,0.2631,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.1615,Normal
NGO_00020,FY2025-26,2,46809485.61,43793982.99,Medium,0.8388,0.0658,0.0499,0.0952,0.0644,0.0783,0.0043,0.3977,0.7153,0.0,0.9254,0.0,0.0,Qualified,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.0983,Normal
NGO_00021,FY2025-26,2,12404172.05,11294075.35,Medium,0.7355,0.052,0.0101,0.0553,0.0895,-0.1489,-0.2365,0.1865,0.5735,0.0,1.5433,0.0,0.0,Clean,Skill Development & Livelihood,Skill Development & Livelihood_Broad,sector_broad,22,0.7951,0.1086,0.1005,Normal
NGO_00022,FY2025-26,2,11034173.8,11053222.53,Medium,0.8171,0.1152,0.0292,0.0735,-0.0017,-0.0816,-0.0055,0.3165,0.6994,0.0,0.6424,0.0,0.0,Qualified,Skill Development & Livelihood,Skill Development & Livelihood_Broad,sector_broad,22,0.7951,0.1086,0.1227,Normal
NGO_00023,FY2025-26,5,4728703.61,4817766.18,Small,0.8055,0.077,0.0132,0.0897,-0.0188,0.2145,0.3851,0.4749,0.5336,0.0,0.4412,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1285,Normal
NGO_00024,FY2025-26,4,21250621.05,20495152.49,Medium,0.8282,0.1086,0.022,0.0757,0.0356,-0.0656,0.0059,0.4976,0.5261,0.0,1.7036,0.0,0.0,Clean,Skill Development & Livelihood,Skill Development & Livelihood_Broad,sector_broad,22,0.7951,0.1086,0.1624,Normal
NGO_00025,FY2025-26,3,34158646.28,33429802.77,Medium,0.7905,0.0678,0.0256,0.0755,0.0213,-0.0131,0.0336,0.2529,0.6062,0.1588,1.3482,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.15,Normal
NGO_00026,FY2025-26,3,3077310.11,2956801.34,Small,0.8291,0.1185,0.0296,0.0806,0.0392,0.0362,-0.006,0.2844,0.4499,0.0,1.6943,0.0,0.0,Clean,Water & Sanitation,Water & Sanitation_Small,specific,14,0.7708,0.1082,0.1588,Normal
NGO_00027,FY2025-26,3,9644068.99,8653063.86,Medium,0.7596,0.0696,0.0156,0.0938,0.1028,0.176,0.0854,0.515,0.718,0.0,0.7647,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1239,Normal
NGO_00028,FY2025-26,3,30949325.36,31222661.02,Medium,0.8346,0.0511,0.0246,0.0428,-0.0088,0.0299,0.0933,0.2395,0.6463,0.0,0.3531,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1046,Normal
NGO_00029,FY2025-26,2,112290867.68,112250912.64,Large,0.7338,0.1238,0.0481,0.0504,0.0004,0.2131,0.2499,0.428,0.5085,0.0,0.7002,0.0,0.0,Clean,Disaster Relief & Rehabilitation,Disaster Relief & Rehabilitation_Broad,sector_broad,11,0.795,0.124,0.0959,Normal
NGO_00030,FY2025-26,4,20481535.39,20364379.42,Medium,0.8553,0.059,0.0207,0.0794,0.0057,0.0418,0.1136,0.6086,0.6567,0.0,1.0069,0.0,0.0,Clean,Women Empowerment,Women Empowerment_Medium,specific,14,0.8186,0.1006,0.1083,Normal
NGO_00031,FY2025-26,3,77931405.61,71824396.01,Large,0.7797,0.1333,0.0364,0.0724,0.0784,0.0268,0.0276,0.198,0.7398,0.0,1.1258,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Broad,sector_broad,21,0.7797,0.1247,0.0859,Normal
NGO_00032,FY2025-26,1,3651854.55,3419656.32,Small,0.7979,0.1015,0.0169,0.0684,0.0636,,,0.4591,0.7012,0.0,1.1814,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Small,specific,14,0.761,0.0857,0.1425,Normal
NGO_00033,FY2025-26,2,727516.77,645271.83,Small,0.7266,0.1248,0.0111,0.0454,0.113,0.0907,-0.0034,0.5769,0.4877,0.0,0.8201,0.0,0.0,Clean,Skill Development & Livelihood,Skill Development & Livelihood_Small,specific,10,0.7362,0.0976,0.057,Borderline
NGO_00034,FY2025-26,4,26408084.08,24613272.91,Medium,0.7202,0.1284,0.0455,0.0652,0.068,-0.1379,-0.0947,0.4428,0.6118,0.0,1.6927,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1504,Normal
NGO_00035,FY2025-26,3,31726583.05,30609452.22,Medium,0.7342,0.1095,0.0208,0.0797,0.0352,-0.093,-0.0664,0.2186,0.6281,0.0,0.295,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1388,Normal
NGO_00036,FY2025-26,3,15079321.37,15061804.94,Medium,0.8578,0.0549,0.0163,0.0786,0.0012,0.1931,0.2641,0.5759,0.6856,0.0,1.857,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.091,Normal
NGO_00037,FY2025-26,1,46452304.13,45745288.97,Medium,0.7615,0.062,0.038,0.0648,0.0152,,,0.2995,0.7354,0.0,0.503,0.0,0.0,Clean,Healthcare & Medical,Healthcare & Medical_Medium,specific,14,0.7848,0.0819,0.1045,Normal
NGO_00038,,0,,,Unknown,,,,,,,,,,,,1.0,0.0,No Reports Available,Environment & Forests,Environment & Forests_Broad,sector_broad,30,,,0.0,Outlier
NGO_00039,,0,,,Unknown,,,,,,,,,,,,1.0,0.0,No Reports Available,Environment & Forests,Environment & Forests_Broad,sector_broad,30,,,0.0,Outlier
NGO_00040,,0,,,Unknown,,,,,,,,,,,,1.0,0.0,No Reports Available,Water & Sanitation,Water & Sanitation_Broad,sector_broad,24,0.7636,0.0806,0.0,Outlier
NGO_00041,FY2025-26,3,4676214.88,4558469.97,Small,0.8235,0.0991,0.0158,0.0976,0.0252,-0.1189,-0.0555,0.6071,0.4046,0.0,0.3916,0.0,0.0,Clean,Child Welfare,Child Welfare_Broad,sector_broad,13,0.7845,0.0993,0.1273,Normal
NGO_00042,FY2025-26,3,37995207.22,36007696.1,Medium,0.3659,0.5423,0.0868,0.0984,0.0523,0.118,0.145,0.3294,0.5285,0.0,0.6282,0.0,0.0,Qualified,Skill Development & Livelihood,Skill Development & Livelihood_Broad,sector_broad,22,0.7951,0.1086,-0.1509,Outlier
NGO_00043,FY2025-26,1,3585160.24,3532578.99,Small,0.8423,0.104,0.0313,0.0927,0.0147,,,0.1966,0.5922,0.0,1.7292,0.0,0.0,Clean,Education,Education_Broad,sector_broad,14,0.7772,0.104,0.1277,Normal
NGO_00044,FY2025-26,2,39838751.79,37486386.67,Medium,0.681,0.0582,0.047,0.0487,0.059,-0.0394,-0.0399,0.182,0.4143,0.0,0.7904,0.0,0.0,Clean,Environment & Forests,Environment & Forests_Medium,specific,12,0.8011,0.0818,0.0821,Normal
NGO_00045,,0,,,Unknown,,,,,,,,,,,,1.0,0.0,No Reports Available,Disaster Relief & Rehabilitation,Disaster Relief & Rehabilitation_Broad,sector_broad,11,0.795,0.124,0.0,Outlier
NGO_00046,FY2025-26,5,22074260.16,21205085.77,Medium,0.8338,0.0752,0.0152,0.0508,0.0394,0.1229,0.0732,0.2643,0.6303,0.0,0.3323,0.0,0.0,Clean,Nutrition & Food Security,Nutrition & Food Security_Medium,specific,15,0.7568,0.0658,0.1362,Normal
