financial_report_id,ngo_id,financial_year,document_type,document_source,audit_status,auditor_name,total_income,grant_income,donation_income,other_income,fcra_income,nfcra_income,total_expenditure,programme_expenses,administrative_expenses,fundraising_expenses,employee_expenses,consultancy_expenses,material_expenses,other_expenses,cash_and_bank_balance,total_assets,total_liabilities,surplus_or_deficit,related_party_transactions,source_url,verification_status
FIN_NGO_00001_FY2025-26,NGO_00001,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",1199657.75,817880.91,304783.38,76993.46,0.0,1199657.75,1093974.81,913586.29,111543.52,12944.98,90006.02,0.0,0.0,-34106.0,322387.79,1902680.51,323146.06,105682.94,0.0,https://eleos.org/docs/FIN_NGO_00001_FY2025-26.pdf,Verified
FIN_NGO_00002_FY2025-26,NGO_00002,FY2025-26,Audited Financial Statement,Public Repository,Qualified,"M/s R. K. Sharma & Associates, Chartered Accountants",1128336.44,783563.27,196077.59,148695.58,0.0,1128336.44,1087066.84,770509.45,120928.91,27601.38,82382.86,25693.27,51386.54,8564.43,417460.78,1492537.42,396966.85,41269.6,0.0,https://eleos.org/docs/FIN_NGO_00002_FY2025-26.pdf,Extracted
FIN_NGO_00002_FY2024-25,NGO_00002,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",1202147.4,678958.58,271807.58,251381.24,0.0,1202147.4,1218417.54,969096.56,73153.42,34297.17,80520.24,18405.04,36810.09,6135.02,716339.92,1496299.04,374337.86,-16270.14,0.0,https://eleos.org/docs/FIN_NGO_00002_FY2024-25.pdf,Verified
FIN_NGO_00003_FY2025-26,NGO_00003,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",41026662.99,30261205.2,10425902.2,339555.59,0.0,41026662.99,38406931.72,31983957.41,2495221.54,712444.43,2655396.4,167973.58,335947.16,55991.2,6887042.66,15005811.31,5936188.71,2619731.27,0.0,https://eleos.org/docs/FIN_NGO_00003_FY2025-26.pdf,Verified
FIN_NGO_00003_FY2024-25,NGO_00003,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",37854880.29,23796963.29,11799636.46,2258280.54,0.0,37854880.29,34466040.46,28296794.14,3776389.53,606461.51,2385059.81,0.0,0.0,-598664.53,6177749.82,16103077.9,1904789.15,3388839.83,0.0,https://eleos.org/docs/FIN_NGO_00003_FY2024-25.pdf,Verified
FIN_NGO_00005_FY2025-26,NGO_00005,FY2025-26,Audited Financial Statement,NGO Website,Qualified,"M/s Deshmukh & Associates, Chartered Accountants",9864303.19,4747736.28,4623229.22,493337.69,0.0,9864303.19,10035556.93,8570767.43,753883.57,260795.38,787679.87,0.0,0.0,-337569.32,4195945.29,17120726.41,2304493.01,-171253.74,0.0,https://eleos.org/docs/FIN_NGO_00005_FY2025-26.pdf,Extracted
FIN_NGO_00005_FY2024-25,NGO_00005,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",8224585.63,4841225.52,1976801.84,1406558.27,0.0,8224585.63,8273362.87,6797039.78,738608.19,121004.81,819510.93,0.0,0.0,-202800.84,2027299.77,14304064.44,3301624.88,-48777.24,0.0,https://eleos.org/docs/FIN_NGO_00005_FY2024-25.pdf,Verified
FIN_NGO_00006_FY2025-26,NGO_00006,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",44876160.91,18863903.93,25201807.27,810449.71,0.0,44876160.91,42358817.21,32753209.68,2309388.09,1860969.14,2327697.35,932265.88,1864531.77,310755.3,23327352.25,51995621.49,20609386.77,2517343.7,0.0,https://eleos.org/docs/FIN_NGO_00006_FY2025-26.pdf,Verified
FIN_NGO_00006_FY2024-25,NGO_00006,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",46696106.26,29778554.52,12008350.44,4909201.3,0.0,46696106.26,44195736.22,36660471.5,4389011.19,1756613.35,4146995.81,0.0,0.0,-2757355.63,12356941.09,47766224.97,13914226.39,2500370.04,0.0,https://eleos.org/docs/FIN_NGO_00006_FY2024-25.pdf,Verified
FIN_NGO_00006_FY2023-24,NGO_00006,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",42312673.23,22254309.75,16130644.61,3927718.87,0.0,42312673.23,38128639.21,27536840.45,3058918.82,504179.05,3568139.44,1038168.43,2076336.87,346056.15,13021603.12,46816035.29,7686531.16,4184034.02,0.0,https://eleos.org/docs/FIN_NGO_00006_FY2023-24.pdf,Verified
