project_id,ngo_id,project_name,project_status,project_description,primary_sector,secondary_sectors,funder_name,location_states,location_districts,start_date,end_date,duration_months,beneficiaries_reported,villages_covered,milestones_reported,milestones_completed,outcomes_reported,partnerships_reported,source_url,source_type,verification_status
PRJ_NGO_00002_1,NGO_00002,Skill Development & Livelihood Initiative #1 (Kolkata),Ongoing,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",,"[""West Bengal""]","[""Kolkata""]",2024-11-01,,22,1829,6,5,1,,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00002_1,Annual Report,Self-reported
PRJ_NGO_00002_2,NGO_00002,Skill Development & Livelihood Initiative #2 (Kolkata),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",,"[""West Bengal""]","[""Kolkata""]",2023-09-01,2024-02-28,6,2855,17,3,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00002_2,Annual Report,Self-reported
PRJ_NGO_00002_3,NGO_00002,Skill Development & Livelihood Initiative #3 (Kolkata),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",CSR India Grant,"[""West Bengal""]","[""Kolkata""]",2022-05-01,2023-05-26,13,2173,20,3,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00002_3,Annual Report,Self-reported
PRJ_NGO_00002_4,NGO_00002,Skill Development & Livelihood Initiative #4 (Kolkata),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",District Development Fund,"[""West Bengal""]","[""Kolkata""]",2021-02-01,2022-12-23,23,1251,17,4,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00002_4,Annual Report,Self-reported
PRJ_NGO_00002_5,NGO_00002,Skill Development & Livelihood Initiative #5 (Kolkata),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",District Development Fund,"[""West Bengal""]","[""Kolkata""]",2020-10-01,2022-04-24,19,4617,8,5,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00002_5,Annual Report,Self-reported
PRJ_NGO_00002_6,NGO_00002,Skill Development & Livelihood Initiative #6 (Kolkata),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",State Grant,"[""West Bengal""]","[""Kolkata""]",2019-11-01,2021-03-25,17,4439,16,3,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00002_6,Annual Report,Self-reported
PRJ_NGO_00002_7,NGO_00002,Skill Development & Livelihood Initiative #7 (Kolkata),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Rural Development""]",,"[""West Bengal""]","[""Kolkata""]",2019-06-01,2019-11-28,6,4737,9,4,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00002_7,Annual Report,Self-reported
PRJ_NGO_00003_1,NGO_00003,Water & Sanitation Initiative #1 (Coimbatore),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",CSR India Grant,"[""Tamil Nadu""]","[""Coimbatore""]",2024-09-01,2025-07-28,11,4360,4,4,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00003_1,Annual Report,Self-reported
PRJ_NGO_00003_2,NGO_00003,Water & Sanitation Initiative #2 (Coimbatore),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",State Grant,"[""Tamil Nadu""]","[""Coimbatore""]",2023-11-01,2024-11-25,13,1182,20,4,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00003_2,Annual Report,Self-reported
PRJ_NGO_00003_3,NGO_00003,Water & Sanitation Initiative #3 (Coimbatore),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",State Grant,"[""Tamil Nadu""]","[""Coimbatore""]",2022-10-01,2023-05-29,8,4981,20,5,4,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00003_3,Annual Report,Self-reported
PRJ_NGO_00003_4,NGO_00003,Water & Sanitation Initiative #4 (Coimbatore),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",District Development Fund,"[""Tamil Nadu""]","[""Coimbatore""]",2021-12-01,2023-03-26,16,2375,14,4,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00003_4,Annual Report,Self-reported
PRJ_NGO_00003_5,NGO_00003,Water & Sanitation Initiative #5 (Coimbatore),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",State Grant,"[""Tamil Nadu""]","[""Coimbatore""]",2020-02-01,2020-07-30,6,4812,5,3,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00003_5,Annual Report,Self-reported
PRJ_NGO_00003_6,NGO_00003,Water & Sanitation Initiative #6 (Coimbatore),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Disaster Relief & Rehabilitation""]",Public Donations,"[""Tamil Nadu""]","[""Coimbatore""]",2019-05-01,2020-02-25,10,763,9,5,4,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00003_6,Annual Report,Self-reported
PRJ_NGO_00005_1,NGO_00005,Women Empowerment Initiative #1 (Bengaluru Urban),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Nutrition & Food Security""]",Public Donations,"[""Karnataka""]","[""Bengaluru Urban""]",2024-12-01,2025-11-26,12,3733,4,5,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00005_1,Annual Report,Self-reported
PRJ_NGO_00005_2,NGO_00005,Women Empowerment Initiative #2 (Bengaluru Urban),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Nutrition & Food Security""]",,"[""Karnataka""]","[""Bengaluru Urban""]",2023-02-01,2024-04-26,15,2733,15,5,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00005_2,Annual Report,Self-reported
PRJ_NGO_00005_3,NGO_00005,Women Empowerment Initiative #3 (Bengaluru Urban),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Nutrition & Food Security""]",District Development Fund,"[""Karnataka""]","[""Bengaluru Urban""]",2023-09-01,2024-06-27,10,3644,14,4,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00005_3,Annual Report,Self-reported
PRJ_NGO_00006_1,NGO_00006,Nutrition & Food Security Initiative #1 (Howrah),Ongoing,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Healthcare & Medical""]",,"[""West Bengal""]","[""Howrah""]",2024-07-01,,18,360,20,6,2,,[],https://eleos.org/projects/PRJ_NGO_00006_1,Annual Report,Self-reported
PRJ_NGO_00006_2,NGO_00006,Nutrition & Food Security Initiative #2 (Howrah),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Healthcare & Medical""]",State Grant,"[""West Bengal""]","[""Howrah""]",2023-06-01,2024-08-24,15,3632,19,4,5,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00006_2,Annual Report,Self-reported
PRJ_NGO_00006_3,NGO_00006,Nutrition & Food Security Initiative #3 (Howrah),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Healthcare & Medical""]",CSR India Grant,"[""West Bengal""]","[""Howrah""]",2022-07-01,2024-03-22,21,3385,12,6,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00006_3,Annual Report,Self-reported
PRJ_NGO_00006_4,NGO_00006,Nutrition & Food Security Initiative #4 (Howrah),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Healthcare & Medical""]",CSR India Grant,"[""West Bengal""]","[""Howrah""]",2021-03-01,2023-01-20,23,3427,20,3,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00006_4,Annual Report,Self-reported
PRJ_NGO_00006_5,NGO_00006,Nutrition & Food Security Initiative #5 (Howrah),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Healthcare & Medical""]",District Development Fund,"[""West Bengal""]","[""Howrah""]",2020-03-01,2021-10-22,20,611,10,6,4,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00006_5,Annual Report,Self-reported
PRJ_NGO_00007_1,NGO_00007,Education Initiative #1 (Kozhikode),Ongoing,Community-based education support project serving rural/urban clusters.,Education,[],District Development Fund,"[""Kerala""]","[""Kozhikode""]",2024-06-01,,20,3767,7,5,3,,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00007_1,Annual Report,Self-reported
PRJ_NGO_00007_2,NGO_00007,Education Initiative #2 (Kozhikode),Completed,Community-based education support project serving rural/urban clusters.,Education,[],State Grant,"[""Kerala""]","[""Kozhikode""]",2024-09-01,2026-05-24,21,3768,20,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00007_2,Annual Report,Self-reported
PRJ_NGO_00008_1,NGO_00008,Environment & Forests Initiative #1 (North Delhi),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],CSR India Grant,"[""Delhi""]","[""North Delhi""]",2024-08-01,2025-04-28,9,4902,11,6,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00008_1,Annual Report,Self-reported
PRJ_NGO_00008_2,NGO_00008,Environment & Forests Initiative #2 (North Delhi),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],Public Donations,"[""Delhi""]","[""North Delhi""]",2024-03-01,2024-09-27,7,4113,5,3,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00008_2,Annual Report,Self-reported
PRJ_NGO_00008_3,NGO_00008,Environment & Forests Initiative #3 (North Delhi),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],District Development Fund,"[""Delhi""]","[""North Delhi""]",2024-10-01,2025-04-29,7,1422,20,5,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00008_3,Annual Report,Self-reported
PRJ_NGO_00009_1,NGO_00009,Disaster Relief & Rehabilitation Initiative #1 (Rajkot),Completed,Community-based disaster relief & rehabilitation support project serving rural/urban clusters.,Disaster Relief & Rehabilitation,[],Public Donations,"[""Gujarat""]","[""Rajkot""]",2024-11-01,2026-06-24,20,1686,20,6,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00009_1,Annual Report,Self-reported
PRJ_NGO_00009_2,NGO_00009,Disaster Relief & Rehabilitation Initiative #2 (Rajkot),Completed,Community-based disaster relief & rehabilitation support project serving rural/urban clusters.,Disaster Relief & Rehabilitation,[],State Grant,"[""Gujarat""]","[""Rajkot""]",2023-08-01,2024-12-23,17,2930,12,3,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00009_2,Annual Report,Self-reported
PRJ_NGO_00009_3,NGO_00009,Disaster Relief & Rehabilitation Initiative #3 (Rajkot),Completed,Community-based disaster relief & rehabilitation support project serving rural/urban clusters.,Disaster Relief & Rehabilitation,[],Public Donations,"[""Gujarat""]","[""Rajkot""]",2022-12-01,2024-08-22,21,3480,19,3,5,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00009_3,Annual Report,Self-reported
PRJ_NGO_00010_1,NGO_00010,Child Welfare Initiative #1 (Ahmedabad),Completed,Community-based child welfare support project serving rural/urban clusters.,Child Welfare,"[""Education""]",State Grant,"[""Gujarat""]","[""Ahmedabad""]",2025-04-01,2027-03-22,24,2113,15,3,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00010_1,Annual Report,Self-reported
PRJ_NGO_00011_1,NGO_00011,Nutrition & Food Security Initiative #1 (Jaipur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],State Grant,"[""Rajasthan""]","[""Jaipur""]",2024-10-01,2025-12-25,15,2248,16,5,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00011_1,Annual Report,Self-reported
PRJ_NGO_00011_2,NGO_00011,Nutrition & Food Security Initiative #2 (Jaipur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],District Development Fund,"[""Rajasthan""]","[""Jaipur""]",2023-08-01,2024-04-27,9,3324,20,5,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00011_2,Annual Report,Self-reported
