ngo_id,profile_source,pan_provided,pan_verified,year_established,beneficiaries_reported,primary_sector,transparency_seal_status,tax_exemption_type,tax_exemption_status,section_80g_status,fcra_status,reported_expenditure,reported_assets,profile_publication_date,source_url,verification_status
NGO_00001,NGO Website,True,True,2025.0,1252.0,Skill Development & Livelihood,Not Found,,Not Found,Not Found,Not Applicable,1253190.26,2077256.48,2025-11-23,https://eleos.org/registry/NGO_00001,Self-reported
NGO_00002,https://ngodarpan.gov.in,True,True,2019.0,545.0,Skill Development & Livelihood,Not Found,12AB,Valid,Valid,Not Applicable,1184197.58,1570624.43,2026-07-17,https://eleos.org/registry/NGO_00002,Externally verified
NGO_00003,NGO Website,True,True,2018.0,23968.0,Water & Sanitation,,,Expired,Not Found,Not Applicable,41940319.43,15378042.62,2026-08-07,https://eleos.org/registry/NGO_00003,Self-reported
NGO_00004,https://ngodarpan.gov.in,True,True,2025.0,11356.0,Water & Sanitation,Not Found,,Expired,Not Found,Not Applicable,8807260.85,,2026-06-17,https://eleos.org/registry/NGO_00004,Self-reported
NGO_00005,https://ngodarpan.gov.in,True,True,2023.0,8372.0,Women Empowerment,Not Found,12AB,Valid,Valid,Not Applicable,10103656.63,15738168.76,2026-05-26,https://eleos.org/registry/NGO_00005,Externally verified
NGO_00006,https://ngodarpan.gov.in,False,False,2014.0,30890.0,Nutrition & Food Security,Valid,12AB,Valid,Valid,Expired,45867390.63,50309472.04,2026-01-27,https://eleos.org/registry/NGO_00006,Self-reported
NGO_00007,https://ngodarpan.gov.in,True,True,2024.0,199814.0,Education,,12AB,Valid,Valid,Not Applicable,263649399.26,,2026-04-30,https://eleos.org/registry/NGO_00007,Externally verified
NGO_00008,https://ngodarpan.gov.in,True,True,2024.0,16919.0,Environment & Forests,Not Found,12AB,Valid,Valid,Not Applicable,24065109.73,5727932.3,2025-11-24,https://eleos.org/registry/NGO_00008,Externally verified
NGO_00009,https://ngodarpan.gov.in,True,False,2022.0,860.0,Disaster Relief & Rehabilitation,Valid,12AB,Valid,Valid,Not Applicable,1518665.56,966349.23,2026-06-21,https://eleos.org/registry/NGO_00009,Self-reported
NGO_00010,https://ngodarpan.gov.in,True,True,2025.0,2352.0,Child Welfare,Expired,12AB,Valid,Valid,Not Applicable,2320355.44,1307017.74,2026-04-15,https://eleos.org/registry/NGO_00010,Externally verified
