as_on_date,unique_id,ngo_name,ngo_email,state_of_registration,registered_district,registered_subdistrict,type_of_ngo,registration_authority,registration_number,act_name,date_of_registration,sectors,operational_district,operational_state,source_url
2026-09-16,DARPAN_770487,Samarpan Foundation Gramin,contact@samarpanfoun.org,Delhi,Central Delhi,Central Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/854/2001/9935,"Indian Trusts Act, 1882",2025-01-03,Skill Development & Livelihood,Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_770487
2026-09-16,DARPAN_770487,Samarpan Foundation Gramin (North Delhi),contact@samarpanfoun.org,Delhi,Central Delhi,Central Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/854/2001/9935,"Indian Trusts Act, 1882",2025-01-03,Skill Development & Livelihood,North Delhi,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_770487
2026-09-16,DARPAN_770487,Samarpan Foundation Gramin (Rajkot),,Delhi,Central Delhi,Central Delhi Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/854/2001/9935,"Indian Trusts Act, 1882",2025-01-03,Skill Development & Livelihood,Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_770487
2026-09-16,DARPAN_270555,Uday Network National,,West Bengal,Kolkata,Kolkata Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/750/2005/9751,"Companies Act, 2013",2019-07-09,"Skill Development & Livelihood, Disaster Relief & Rehabilitation, Rural Development",Kolkata,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_270555
2026-09-16,DARPAN_270555,Uday Network National (Madurai),contact@udaynetworkn.org,West Bengal,Kolkata,Kolkata Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/750/2005/9751,"Companies Act, 2013",2019-07-09,"Skill Development & Livelihood, Disaster Relief & Rehabilitation, Rural Development",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_270555
2026-09-16,DARPAN_270555,Uday Network National (Coimbatore),contact@udaynetworkn.org,West Bengal,Kolkata,Kolkata Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/750/2005/9751,"Companies Act, 2013",2019-07-09,"Skill Development & Livelihood, Disaster Relief & Rehabilitation, Rural Development",Coimbatore,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_270555
2026-09-16,DARPAN_761759,Navjeevan Samiti India,contact@navjeevansam.org,Tamil Nadu,Coimbatore,Coimbatore Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/626/2010/5562,"Indian Trusts Act, 1882",2018-03-24,"Water & Sanitation, Child Welfare, Disaster Relief & Rehabilitation",Coimbatore,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_761759
2026-09-16,DARPAN_761759,Navjeevan Samiti India (Chennai),contact@navjeevansam.org,Tamil Nadu,Coimbatore,Coimbatore Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/626/2010/5562,"Indian Trusts Act, 1882",2018-03-24,"Water & Sanitation, Child Welfare, Disaster Relief & Rehabilitation",Chennai,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_761759
2026-09-16,DARPAN_761759,Navjeevan Samiti India (Thrissur),contact@navjeevansam.org,Tamil Nadu,Coimbatore,Coimbatore Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/626/2010/5562,"Indian Trusts Act, 1882",2018-03-24,"Water & Sanitation, Child Welfare, Disaster Relief & Rehabilitation",Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_761759
2026-09-16,DARPAN_974244,Kalyan Association India,contact@kalyanassoci.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/206/2003/5333,"Companies Act, 2013",2025-09-05,Water & Sanitation,Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_974244
2026-09-16,DARPAN_974244,Kalyan Association India (Surat),contact@kalyanassoci.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/206/2003/5333,"Companies Act, 2013",2025-09-05,Water & Sanitation,Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_974244
2026-09-16,DARPAN_710805,Kalyan Society Seva,contact@kalyansociet.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Society,Registrar of Societies,SOC/473/1997/6862,"Societies Registration Act, 1860",2023-02-12,"Women Empowerment, Nutrition & Food Security",Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_710805
2026-09-16,DARPAN_710805,Kalyan Society Seva (Belagavi),contact@kalyansociet.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Society,Registrar of Societies,SOC/473/1997/6862,"Societies Registration Act, 1860",2023-02-12,"Women Empowerment, Nutrition & Food Security",Belagavi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_710805
2026-09-16,DARPAN_710805,Kalyan Society Seva (Central Delhi),contact@kalyansociet.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Society,Registrar of Societies,SOC/473/1997/6862,"Societies Registration Act, 1860",2023-02-12,"Women Empowerment, Nutrition & Food Security",Central Delhi,Delhi,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_710805
2026-09-16,DARPAN_525800,Kalyan Foundation Gramin,contact@kalyanfounda.org,West Bengal,Howrah,Howrah Taluk,Society,Registrar of Societies,SOC/904/2015/8618,"Societies Registration Act, 1860",2014-09-16,"Nutrition & Food Security, Healthcare & Medical",Howrah,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_525800
2026-09-16,DARPAN_525800,Kalyan Foundation Gramin (North 24 Parganas),contact@kalyanfounda.org,West Bengal,Howrah,Howrah Taluk,Society,Registrar of Societies,SOC/904/2015/8618,"Societies Registration Act, 1860",2014-09-16,"Nutrition & Food Security, Healthcare & Medical",North 24 Parganas,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_525800
2026-09-16,DARPAN_525800,Kalyan Foundation Gramin (Kolkata),contact@kalyanfounda.org,West Bengal,Howrah,Howrah Taluk,Society,Registrar of Societies,SOC/904/2015/8618,"Societies Registration Act, 1860",2014-09-16,"Nutrition & Food Security, Healthcare & Medical",Kolkata,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_525800
