ngo_id,total_projects_found,completed_projects,ongoing_projects,planned_projects,total_project_locations,total_beneficiaries_reported,projects_with_funder,projects_with_dates,projects_with_outcomes,projects_with_milestones,government_partnership_count,operational_evidence_completeness
NGO_00001,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00002,7,6,1,0,7,21901,4,7,6,7,5,0.8929
NGO_00003,6,6,0,0,6,18473,6,6,6,6,3,1.0
NGO_00004,0,0,0,0,0,0,0,0,0,0,0,0.0
NGO_00005,3,3,0,0,3,10110,2,3,3,3,2,0.9167
NGO_00006,5,4,1,0,5,11415,4,5,4,5,2,0.95
NGO_00007,2,1,1,0,2,7535,2,2,1,2,2,1.0
NGO_00008,3,3,0,0,3,10437,3,3,3,3,3,1.0
NGO_00009,3,3,0,0,3,8096,3,3,3,3,1,1.0
NGO_00010,1,1,0,0,1,2113,1,1,1,1,1,1.0
NGO_00011,5,5,0,0,5,15536,3,5,5,5,3,0.9
NGO_00012,5,4,1,0,5,4830,5,5,4,5,2,1.0
NGO_00013,6,5,1,0,6,14474,5,6,5,6,4,0.9583
NGO_00014,6,6,0,0,6,11458,1,6,6,6,5,0.7917
NGO_00015,4,3,1,0,4,14093,0,4,3,4,3,0.75
NGO_00016,4,4,0,0,4,9355,4,4,4,4,1,1.0
NGO_00017,2,2,0,0,2,2064,2,2,2,2,1,1.0
NGO_00018,3,3,0,0,3,9285,3,3,3,3,1,1.0
NGO_00019,5,5,0,0,5,17782,5,5,5,5,5,1.0
NGO_00020,5,5,0,0,5,14073,5,5,5,5,4,1.0
NGO_00021,7,7,0,0,7,17359,7,7,7,7,4,1.0
NGO_00022,5,4,1,0,5,17946,5,5,4,5,3,1.0
NGO_00023,3,3,0,0,3,7822,3,3,3,3,0,1.0
NGO_00024,2,2,0,0,2,1569,2,2,2,2,2,1.0
NGO_00025,6,6,0,0,6,12774,4,6,6,6,2,0.9167
NGO_00026,2,1,1,0,2,4166,2,2,1,2,2,1.0
