project_id,ngo_id,project_name,project_status,primary_sector,secondary_sectors,location_country,location_state_primary,location_district_primary,is_remote_area,is_disaster_relief,start_date,end_date,duration_months,duration_days,beneficiaries_reported,villages_covered,milestones_reported,milestones_completed,outcomes_reported,ngo_age_years_at_start,number_of_operational_states,number_of_operational_districts,number_of_sectors,prior_projects_count,prior_max_beneficiaries
PRJ_NGO_00002_7,NGO_00002,Skill Development & Livelihood Initiative #7 (Kolkata),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2019-06-01,2019-11-28,6,180,4737,9,4,2,Successfully completed primary community training and material deployment.,0,2,3,3,0,
PRJ_NGO_00002_6,NGO_00002,Skill Development & Livelihood Initiative #6 (Kolkata),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2019-11-01,2021-03-25,17,510,4439,16,3,3,Successfully completed primary community training and material deployment.,0,2,3,3,1,4737.0
PRJ_NGO_00002_5,NGO_00002,Skill Development & Livelihood Initiative #5 (Kolkata),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2020-10-01,2022-04-24,19,570,4617,8,5,5,Successfully completed primary community training and material deployment.,1,2,3,3,2,4737.0
PRJ_NGO_00002_4,NGO_00002,Skill Development & Livelihood Initiative #4 (Kolkata),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2021-02-01,2022-12-23,23,690,1251,17,4,4,Successfully completed primary community training and material deployment.,2,2,3,3,3,4737.0
PRJ_NGO_00002_3,NGO_00002,Skill Development & Livelihood Initiative #3 (Kolkata),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2022-05-01,2023-05-26,13,390,2173,20,3,2,Successfully completed primary community training and material deployment.,3,2,3,3,4,4737.0
PRJ_NGO_00002_2,NGO_00002,Skill Development & Livelihood Initiative #2 (Kolkata),Completed,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2023-09-01,2024-02-28,6,180,2855,17,3,2,Successfully completed primary community training and material deployment.,4,2,3,3,5,4737.0
PRJ_NGO_00002_1,NGO_00002,Skill Development & Livelihood Initiative #1 (Kolkata),Ongoing,Education & Skill Development,"[""Emergency Relief & Rehabilitation"", ""Social Welfare & Community Development""]",India,West Bengal,Kolkata,False,True,2024-11-01,,22,660,1829,6,5,1,,5,2,3,3,6,4737.0
PRJ_NGO_00003_6,NGO_00003,Water & Sanitation Initiative #6 (Coimbatore),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Coimbatore,False,True,2019-05-01,2020-02-25,10,300,763,9,5,4,Successfully completed primary community training and material deployment.,1,2,3,3,0,
PRJ_NGO_00003_5,NGO_00003,Water & Sanitation Initiative #5 (Coimbatore),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Coimbatore,False,True,2020-02-01,2020-07-30,6,180,4812,5,3,3,Successfully completed primary community training and material deployment.,2,2,3,3,1,763.0
PRJ_NGO_00003_4,NGO_00003,Water & Sanitation Initiative #4 (Coimbatore),Completed,"Water, Sanitation & Environment","[""Social Welfare & Community Development"", ""Emergency Relief & Rehabilitation""]",India,Tamil Nadu,Coimbatore,False,True,2021-12-01,2023-03-26,16,480,2375,14,4,4,Successfully completed primary community training and material deployment.,3,2,3,3,2,4812.0
