project_id,expected_budget_inr
PRJ_NGO_00002_7,11541600.0
PRJ_NGO_00002_6,22570900.0
PRJ_NGO_00002_5,28952000.0
PRJ_NGO_00002_4,8741000.0
PRJ_NGO_00002_3,7975800.0
PRJ_NGO_00002_2,7345100.0
PRJ_NGO_00002_1,12555900.0
PRJ_NGO_00003_6,2536200.0
PRJ_NGO_00003_5,8697100.0
PRJ_NGO_00003_4,10431600.0
PRJ_NGO_00003_3,12260900.0
PRJ_NGO_00003_2,5035000.0
PRJ_NGO_00003_1,15026400.0
PRJ_NGO_00005_2,10302500.0
PRJ_NGO_00005_3,8900900.0
PRJ_NGO_00005_1,9854200.0
PRJ_NGO_00006_5,1495200.0
PRJ_NGO_00006_4,8019800.0
PRJ_NGO_00006_3,9307300.0
PRJ_NGO_00006_2,7221300.0
PRJ_NGO_00006_1,858400.0
PRJ_NGO_00007_1,8131800.0
PRJ_NGO_00007_2,10092500.0
PRJ_NGO_00008_2,2748500.0
PRJ_NGO_00008_1,3881900.0
PRJ_NGO_00008_3,772100.0
PRJ_NGO_00009_3,16301700.0
PRJ_NGO_00009_2,10105200.0
PRJ_NGO_00009_1,6876500.0
PRJ_NGO_00010_1,7761900.0
PRJ_NGO_00011_5,3869500.0
PRJ_NGO_00011_4,5060400.0
PRJ_NGO_00011_3,6239500.0
PRJ_NGO_00011_2,4060800.0
PRJ_NGO_00011_1,4260500.0
PRJ_NGO_00012_5,489500.0
PRJ_NGO_00012_4,831000.0
PRJ_NGO_00012_3,256400.0
PRJ_NGO_00012_2,1120600.0
PRJ_NGO_00012_1,2818200.0
PRJ_NGO_00013_6,7495300.0
PRJ_NGO_00013_5,546200.0
PRJ_NGO_00013_4,1936100.0
PRJ_NGO_00013_3,11130300.0
PRJ_NGO_00013_2,6049100.0
PRJ_NGO_00013_1,858900.0
PRJ_NGO_00014_6,3957300.0
PRJ_NGO_00014_3,2763100.0
PRJ_NGO_00014_5,1281300.0
PRJ_NGO_00014_4,5497100.0
PRJ_NGO_00014_2,5169300.0
PRJ_NGO_00014_1,15378800.0
PRJ_NGO_00015_4,23049600.0
PRJ_NGO_00015_3,12123900.0
PRJ_NGO_00015_2,11280000.0
PRJ_NGO_00015_1,18528200.0
PRJ_NGO_00016_4,16119900.0
PRJ_NGO_00016_3,14486400.0
PRJ_NGO_00016_2,3667400.0
PRJ_NGO_00016_1,2622200.0
PRJ_NGO_00017_2,3553500.0
PRJ_NGO_00017_1,1068700.0
PRJ_NGO_00018_3,18550200.0
PRJ_NGO_00018_2,8063500.0
PRJ_NGO_00018_1,10801700.0
PRJ_NGO_00019_5,1266900.0
PRJ_NGO_00019_4,2618900.0
PRJ_NGO_00019_3,4404400.0
PRJ_NGO_00019_2,3367500.0
PRJ_NGO_00019_1,2608900.0
PRJ_NGO_00020_4,4423900.0
PRJ_NGO_00020_5,1937700.0
PRJ_NGO_00020_3,4359000.0
PRJ_NGO_00020_2,9003000.0
PRJ_NGO_00020_1,3833500.0
PRJ_NGO_00021_6,3524200.0
PRJ_NGO_00021_5,1020500.0
PRJ_NGO_00021_4,8476000.0
PRJ_NGO_00021_7,24445400.0
PRJ_NGO_00021_3,9831600.0
PRJ_NGO_00021_2,4461600.0
PRJ_NGO_00021_1,2754200.0
PRJ_NGO_00022_5,13365800.0
PRJ_NGO_00022_4,13330700.0
PRJ_NGO_00022_3,12448500.0
PRJ_NGO_00022_2,4957800.0
PRJ_NGO_00022_1,8711200.0
PRJ_NGO_00023_3,9066500.0
PRJ_NGO_00023_2,5488600.0
PRJ_NGO_00023_1,9167800.0
PRJ_NGO_00024_2,3230100.0
PRJ_NGO_00024_1,3544800.0
PRJ_NGO_00025_6,2106000.0
PRJ_NGO_00025_5,13041300.0
PRJ_NGO_00025_4,9854000.0
PRJ_NGO_00025_3,17977000.0
PRJ_NGO_00025_2,519400.0
PRJ_NGO_00025_1,3840000.0
PRJ_NGO_00026_2,6245700.0
PRJ_NGO_00026_1,2579200.0
PRJ_NGO_00027_4,7187900.0
PRJ_NGO_00027_3,6662300.0
PRJ_NGO_00027_2,6769200.0
PRJ_NGO_00027_1,1544900.0
PRJ_NGO_00028_3,1987000.0
PRJ_NGO_00028_2,237500.0
PRJ_NGO_00028_1,486800.0
PRJ_NGO_00029_1,1622500.0
PRJ_NGO_00029_2,1351000.0
PRJ_NGO_00030_6,1188400.0
PRJ_NGO_00030_5,6237100.0
PRJ_NGO_00030_4,6621400.0
PRJ_NGO_00030_3,5356900.0
PRJ_NGO_00030_2,15468500.0
PRJ_NGO_00030_1,4869400.0
PRJ_NGO_00031_2,26194700.0
PRJ_NGO_00031_1,9230700.0
PRJ_NGO_00032_1,7688500.0
PRJ_NGO_00033_2,4725800.0
PRJ_NGO_00033_3,4524500.0
PRJ_NGO_00033_1,10305100.0
PRJ_NGO_00034_2,1467000.0
PRJ_NGO_00034_1,4509300.0
PRJ_NGO_00035_4,7263500.0
PRJ_NGO_00035_3,5076700.0
PRJ_NGO_00035_2,1383200.0
PRJ_NGO_00035_1,3653900.0
PRJ_NGO_00036_3,2103900.0
PRJ_NGO_00036_2,5403000.0
PRJ_NGO_00036_1,13512600.0
PRJ_NGO_00037_1,3463500.0
PRJ_NGO_00038_1,4359900.0
PRJ_NGO_00041_4,2998500.0
PRJ_NGO_00041_3,3798400.0
PRJ_NGO_00041_2,2177700.0
PRJ_NGO_00041_1,9984900.0
PRJ_NGO_00042_3,8133700.0
PRJ_NGO_00042_2,13366700.0
PRJ_NGO_00042_1,9223400.0
PRJ_NGO_00043_3,4415300.0
PRJ_NGO_00043_2,10164800.0
PRJ_NGO_00043_1,1199000.0
PRJ_NGO_00044_6,6770200.0
PRJ_NGO_00044_5,1265300.0
PRJ_NGO_00044_4,1517100.0
PRJ_NGO_00044_3,2529400.0
PRJ_NGO_00044_2,3611000.0
PRJ_NGO_00044_1,2362100.0
PRJ_NGO_00046_7,10414100.0
PRJ_NGO_00046_6,6946600.0
PRJ_NGO_00046_5,2593400.0
PRJ_NGO_00046_4,2093400.0
PRJ_NGO_00046_3,4841800.0
PRJ_NGO_00046_2,3177300.0
PRJ_NGO_00046_1,7508000.0
PRJ_NGO_00047_6,3957600.0
PRJ_NGO_00047_5,3094400.0
PRJ_NGO_00047_4,3602300.0
PRJ_NGO_00047_3,4544700.0
PRJ_NGO_00047_2,3419100.0
PRJ_NGO_00047_1,5319400.0
PRJ_NGO_00048_5,1856200.0
PRJ_NGO_00048_4,8934300.0
PRJ_NGO_00048_3,5941000.0
PRJ_NGO_00048_2,9358200.0
PRJ_NGO_00048_1,6882400.0
PRJ_NGO_00049_2,2506300.0
PRJ_NGO_00049_3,3101300.0
PRJ_NGO_00049_1,2962900.0
PRJ_NGO_00050_3,5597100.0
PRJ_NGO_00050_2,8627700.0
PRJ_NGO_00050_1,6362200.0
PRJ_NGO_00051_4,18204200.0
PRJ_NGO_00051_5,2871800.0
PRJ_NGO_00051_3,14881500.0
PRJ_NGO_00051_2,16114400.0
PRJ_NGO_00051_1,5267300.0
PRJ_NGO_00052_5,1988900.0
PRJ_NGO_00052_4,4271400.0
PRJ_NGO_00052_3,6569300.0
PRJ_NGO_00052_2,14750000.0
PRJ_NGO_00052_1,7164700.0
PRJ_NGO_00053_7,767000.0
PRJ_NGO_00053_5,3735600.0
PRJ_NGO_00053_6,1679100.0
PRJ_NGO_00053_4,2747200.0
PRJ_NGO_00053_3,1631400.0
PRJ_NGO_00053_2,2426900.0
PRJ_NGO_00053_1,1170100.0
PRJ_NGO_00054_2,5621500.0
PRJ_NGO_00054_1,14832500.0
PRJ_NGO_00055_6,1583900.0
PRJ_NGO_00055_7,11576000.0
PRJ_NGO_00055_4,3722100.0
PRJ_NGO_00055_3,4410900.0
PRJ_NGO_00055_5,11295000.0
PRJ_NGO_00055_2,4498900.0
PRJ_NGO_00055_1,5157600.0
PRJ_NGO_00056_1,2683400.0
PRJ_NGO_00057_2,4171700.0
PRJ_NGO_00057_1,5982200.0
PRJ_NGO_00058_3,14694700.0
PRJ_NGO_00058_2,2952100.0
PRJ_NGO_00058_1,5558600.0
PRJ_NGO_00059_1,8371200.0
PRJ_NGO_00060_3,272900.0
PRJ_NGO_00060_2,2513700.0
PRJ_NGO_00060_1,6183200.0
PRJ_NGO_00061_7,2579400.0
PRJ_NGO_00061_6,12264700.0
PRJ_NGO_00061_5,3434600.0
PRJ_NGO_00061_4,8477400.0
PRJ_NGO_00061_3,18835600.0
PRJ_NGO_00061_2,6686000.0
PRJ_NGO_00061_1,8715900.0
PRJ_NGO_00062_4,4352800.0
PRJ_NGO_00062_3,2354500.0
PRJ_NGO_00062_2,3785700.0
PRJ_NGO_00062_1,8212100.0
PRJ_NGO_00063_6,2523200.0
PRJ_NGO_00063_5,660100.0
PRJ_NGO_00063_4,1205000.0
PRJ_NGO_00063_3,1567300.0
PRJ_NGO_00063_2,8606200.0
PRJ_NGO_00063_1,1672800.0
PRJ_NGO_00064_2,12218400.0
PRJ_NGO_00064_1,5815700.0
PRJ_NGO_00065_5,17454100.0
PRJ_NGO_00065_4,6570300.0
PRJ_NGO_00065_3,8806500.0
PRJ_NGO_00065_2,6693200.0
PRJ_NGO_00065_1,1721300.0
PRJ_NGO_00066_7,4042400.0
PRJ_NGO_00066_6,2320200.0
PRJ_NGO_00066_5,5481800.0
PRJ_NGO_00066_4,9190100.0
PRJ_NGO_00066_3,9672900.0
PRJ_NGO_00066_2,2121500.0
PRJ_NGO_00066_1,6905100.0
PRJ_NGO_00067_5,10673100.0
PRJ_NGO_00067_3,9084900.0
PRJ_NGO_00067_4,10538800.0
PRJ_NGO_00067_6,7748200.0
PRJ_NGO_00067_2,8023100.0
PRJ_NGO_00067_1,7536200.0
PRJ_NGO_00068_3,6112900.0
PRJ_NGO_00068_2,10181800.0
PRJ_NGO_00068_1,2869100.0
PRJ_NGO_00069_6,2991900.0
PRJ_NGO_00069_5,5459500.0
PRJ_NGO_00069_4,1061300.0
PRJ_NGO_00069_3,8473600.0
PRJ_NGO_00069_2,6795700.0
PRJ_NGO_00069_1,1112200.0
PRJ_NGO_00070_3,7904700.0
PRJ_NGO_00070_2,12889400.0
PRJ_NGO_00070_1,8991000.0
PRJ_NGO_00071_3,3830200.0
PRJ_NGO_00071_2,3025500.0
PRJ_NGO_00071_1,2268900.0
PRJ_NGO_00072_6,7830100.0
PRJ_NGO_00072_5,5231400.0
PRJ_NGO_00072_4,1720400.0
PRJ_NGO_00072_3,3962800.0
PRJ_NGO_00072_2,8489300.0
PRJ_NGO_00072_1,2184700.0
PRJ_NGO_00073_2,4543400.0
PRJ_NGO_00073_1,5820000.0
PRJ_NGO_00074_2,3269700.0
PRJ_NGO_00074_1,4848700.0
PRJ_NGO_00075_1,2014700.0
PRJ_NGO_00075_2,2321900.0
PRJ_NGO_00076_2,5423300.0
PRJ_NGO_00076_1,10521200.0
PRJ_NGO_00077_5,16070700.0
PRJ_NGO_00077_4,1837800.0
PRJ_NGO_00077_3,2084400.0
PRJ_NGO_00077_2,9861700.0
PRJ_NGO_00077_1,3423900.0
PRJ_NGO_00078_6,1728500.0
PRJ_NGO_00078_5,1190200.0
PRJ_NGO_00078_4,3209000.0
PRJ_NGO_00078_3,2144300.0
PRJ_NGO_00078_2,701300.0
PRJ_NGO_00078_1,1324800.0
PRJ_NGO_00079_2,5298000.0
PRJ_NGO_00079_1,2389900.0
PRJ_NGO_00080_3,3533600.0
PRJ_NGO_00080_2,9193500.0
PRJ_NGO_00080_1,3896300.0
PRJ_NGO_00081_4,4491100.0
PRJ_NGO_00081_3,1841000.0
PRJ_NGO_00081_2,4288200.0
PRJ_NGO_00081_1,5119100.0
PRJ_NGO_00082_6,13028600.0
PRJ_NGO_00082_5,1394900.0
PRJ_NGO_00082_4,29804100.0
PRJ_NGO_00082_3,6143100.0
PRJ_NGO_00082_2,3815600.0
PRJ_NGO_00082_1,21312100.0
PRJ_NGO_00084_7,13466600.0
PRJ_NGO_00084_6,4306700.0
PRJ_NGO_00084_5,12857200.0
PRJ_NGO_00084_4,9359500.0
PRJ_NGO_00084_3,1219600.0
PRJ_NGO_00084_2,5450200.0
PRJ_NGO_00084_1,4359500.0
PRJ_NGO_00085_5,12279900.0
PRJ_NGO_00085_4,18306300.0
