project_id,line_item_id,category,description,unit,unit_cost_inr,quantity,total_cost_inr
PRJ_NGO_00002_7,PRJ_NGO_00002_7_ITEM_1,Materials,Materials costs for project,kit,1.85,4737,8763.45
PRJ_NGO_00002_7,PRJ_NGO_00002_7_ITEM_2,Staff,Staff costs for project,person-month,804324.85,3,2412974.55
PRJ_NGO_00002_7,PRJ_NGO_00002_7_ITEM_3,Transport,Transport costs for project,trip,153966.64,23,3541232.72
PRJ_NGO_00002_7,PRJ_NGO_00002_7_ITEM_4,Admin,Admin costs for project,lump-sum,1509495.82,1,1509495.82
PRJ_NGO_00002_7,PRJ_NGO_00002_7_ITEM_5,Contingency,Contingency costs for project,lump-sum,4069119.31,1,4069119.31
PRJ_NGO_00002_6,PRJ_NGO_00002_6_ITEM_1,Materials,Materials costs for project,kit,2429.88,4439,10786237.32
PRJ_NGO_00002_6,PRJ_NGO_00002_6_ITEM_2,Staff,Staff costs for project,person-month,461808.76,8,3694470.08
PRJ_NGO_00002_6,PRJ_NGO_00002_6_ITEM_3,Transport,Transport costs for project,trip,157570.8,22,3466557.5999999996
PRJ_NGO_00002_6,PRJ_NGO_00002_6_ITEM_4,Admin,Admin costs for project,lump-sum,895100.76,1,895100.76
PRJ_NGO_00002_6,PRJ_NGO_00002_6_ITEM_5,Contingency,Contingency costs for project,lump-sum,3728525.35,1,3728525.35
PRJ_NGO_00002_5,PRJ_NGO_00002_5_ITEM_1,Materials,Materials costs for project,kit,2105.44,4617,9720816.48
PRJ_NGO_00002_5,PRJ_NGO_00002_5_ITEM_2,Staff,Staff costs for project,person-month,271534.87,9,2443813.83
PRJ_NGO_00002_5,PRJ_NGO_00002_5_ITEM_3,Transport,Transport costs for project,trip,132850.5,23,3055561.5
PRJ_NGO_00002_5,PRJ_NGO_00002_5_ITEM_4,Admin,Admin costs for project,lump-sum,12056721.65,1,12056721.65
PRJ_NGO_00002_5,PRJ_NGO_00002_5_ITEM_5,Contingency,Contingency costs for project,lump-sum,1675108.28,1,1675108.28
PRJ_NGO_00002_4,PRJ_NGO_00002_4_ITEM_1,Materials,Materials costs for project,kit,102.71,1251,128490.20999999999
PRJ_NGO_00002_4,PRJ_NGO_00002_4_ITEM_2,Staff,Staff costs for project,person-month,544192.46,11,5986117.06
PRJ_NGO_00002_4,PRJ_NGO_00002_4_ITEM_3,Transport,Transport costs for project,trip,328191.93,6,1969151.58
PRJ_NGO_00002_4,PRJ_NGO_00002_4_ITEM_4,Admin,Admin costs for project,lump-sum,407202.26,1,407202.26
PRJ_NGO_00002_4,PRJ_NGO_00002_4_ITEM_5,Contingency,Contingency costs for project,lump-sum,250037.1,1,250037.1
PRJ_NGO_00002_3,PRJ_NGO_00002_3_ITEM_1,Materials,Materials costs for project,kit,999.45,2173,2171804.85
PRJ_NGO_00002_3,PRJ_NGO_00002_3_ITEM_2,Staff,Staff costs for project,person-month,850553.46,6,5103320.76
PRJ_NGO_00002_3,PRJ_NGO_00002_3_ITEM_3,Transport,Transport costs for project,trip,10092.71,10,100927.09999999999
PRJ_NGO_00002_3,PRJ_NGO_00002_3_ITEM_4,Admin,Admin costs for project,lump-sum,236737.25,1,236737.25
PRJ_NGO_00002_3,PRJ_NGO_00002_3_ITEM_5,Contingency,Contingency costs for project,lump-sum,363014.8,1,363014.8
PRJ_NGO_00002_2,PRJ_NGO_00002_2_ITEM_1,Materials,Materials costs for project,kit,77.38,2855,220919.9
PRJ_NGO_00002_2,PRJ_NGO_00002_2_ITEM_2,Staff,Staff costs for project,person-month,432223.05,3,1296669.15
PRJ_NGO_00002_2,PRJ_NGO_00002_2_ITEM_3,Transport,Transport costs for project,trip,5245.33,14,73434.62
PRJ_NGO_00002_2,PRJ_NGO_00002_2_ITEM_4,Admin,Admin costs for project,lump-sum,2480300.43,1,2480300.43
PRJ_NGO_00002_2,PRJ_NGO_00002_2_ITEM_5,Contingency,Contingency costs for project,lump-sum,3273783.95,1,3273783.95
PRJ_NGO_00002_1,PRJ_NGO_00002_1_ITEM_1,Materials,Materials costs for project,kit,5691.23,1829,10409259.67
PRJ_NGO_00002_1,PRJ_NGO_00002_1_ITEM_2,Staff,Staff costs for project,person-month,1855.39,11,20409.29
PRJ_NGO_00002_1,PRJ_NGO_00002_1_ITEM_3,Transport,Transport costs for project,trip,50106.94,9,450962.46
PRJ_NGO_00002_1,PRJ_NGO_00002_1_ITEM_4,Admin,Admin costs for project,lump-sum,1529626.54,1,1529626.54
