project_id,submitted_budget,predicted_expected_budget,deviation_pct,B_score,S_score,C_score,I_score,feasibility_score,feasibility_label
PRJ_NGO_00002_7,11541600.00,11721805.00,1.54,90.00,91.25,98.43,60.00,87.50,High
PRJ_NGO_00002_6,22570900.00,21519872.00,4.88,100.00,100.00,92.13,85.50,96.25,Very High
PRJ_NGO_00002_5,28952000.00,27830558.00,4.03,85.00,100.00,96.18,87.00,91.29,Very High
PRJ_NGO_00002_4,8741000.00,7908098.50,10.53,100.00,100.00,100.00,94.50,99.17,Very High
PRJ_NGO_00002_3,7975800.00,7993585.50,0.22,100.00,100.00,100.00,96.00,99.40,Very High
PRJ_NGO_00002_2,7345100.00,6850772.50,7.22,76.23,100.00,99.74,100.00,90.44,Very High
PRJ_NGO_00002_1,12555900.00,10305245.00,21.84,86.32,100.00,67.06,100.00,87.94,High
PRJ_NGO_00003_6,2536200.00,2174480.25,16.63,96.73,96.50,100.00,62.00,92.12,Very High
PRJ_NGO_00003_5,8697100.00,8957469.00,2.91,90.00,91.63,90.06,81.50,89.14,High
PRJ_NGO_00003_4,10431600.00,9899171.00,5.38,100.00,100.00,100.00,90.00,98.50,Very High
PRJ_NGO_00003_3,12260900.00,12188420.00,0.59,90.00,100.00,95.51,97.50,94.73,Very High
PRJ_NGO_00003_2,5035000.00,5009132.50,0.52,88.30,100.00,100.00,99.00,95.17,Very High
PRJ_NGO_00003_1,15026400.00,8447560.00,77.88,11.06,100.00,100.00,100.00,64.42,Moderate
PRJ_NGO_00005_2,10302500.00,8181150.50,25.93,63.14,91.25,100.00,60.00,77.07,High
PRJ_NGO_00005_3,8900900.00,8888940.00,0.13,100.00,100.00,95.02,81.50,96.23,Very High
PRJ_NGO_00005_1,9854200.00,9213667.00,6.95,90.00,100.00,96.64,83.00,92.78,Very High
PRJ_NGO_00006_5,1495200.00,1113926.75,34.23,61.54,96.50,98.53,68.00,78.65,High
PRJ_NGO_00006_4,8019800.00,9250348.00,13.30,100.00,92.36,97.50,87.50,95.72,Very High
PRJ_NGO_00006_3,9307300.00,9605371.00,3.10,93.05,100.00,100.00,90.50,95.80,Very High
PRJ_NGO_00006_2,7221300.00,6984167.50,3.40,85.00,100.00,94.12,96.50,92.30,Very High
PRJ_NGO_00006_1,858400.00,607576.38,41.28,36.79,100.00,97.93,96.50,73.78,Moderate
PRJ_NGO_00007_1,8131800.00,14495244.00,43.90,40.25,91.25,90.64,60.00,66.04,Moderate
PRJ_NGO_00007_2,10092500.00,13774373.00,26.73,76.54,100.00,94.41,82.50,86.87,High
PRJ_NGO_00008_2,2748500.00,4725601.00,41.84,45.40,91.25,80.14,60.00,66.00,Moderate
PRJ_NGO_00008_1,3881900.00,6136995.50,36.75,56.51,100.00,81.09,84.00,76.42,High
PRJ_NGO_00008_3,772100.00,2055430.00,62.44,18.78,100.00,79.18,84.00,60.95,Moderate
PRJ_NGO_00009_3,16301700.00,16175571.00,0.78,100.00,91.25,96.22,60.00,91.06,Very High
PRJ_NGO_00009_2,10105200.00,11728544.00,13.84,100.00,100.00,100.00,83.50,97.53,Very High
PRJ_NGO_00009_1,6876500.00,6354298.00,8.22,100.00,100.00,98.24,85.00,97.40,Very High
PRJ_NGO_00010_1,7761900.00,7024014.50,10.51,77.85,96.50,100.00,60.00,84.26,High
PRJ_NGO_00011_5,3869500.00,3681647.25,5.10,90.00,96.50,91.84,68.00,88.69,High
PRJ_NGO_00011_4,5060400.00,5367788.50,5.73,90.00,100.00,86.62,90.00,91.82,Very High
PRJ_NGO_00011_3,6239500.00,6582801.50,5.22,90.00,100.00,92.77,94.00,93.65,Very High
PRJ_NGO_00011_2,4060800.00,4218511.00,3.74,100.00,100.00,79.48,100.00,95.90,Very High
PRJ_NGO_00011_1,4260500.00,5157715.00,17.40,85.21,100.00,93.58,100.00,92.80,Very High
PRJ_NGO_00012_5,489500.00,925202.94,47.09,32.27,96.50,81.38,60.00,62.31,Moderate
PRJ_NGO_00012_4,831000.00,1441966.25,42.37,44.07,100.00,80.33,77.00,70.25,Moderate
PRJ_NGO_00012_3,256400.00,660940.62,61.21,19.40,100.00,84.42,78.50,61.42,Moderate
PRJ_NGO_00012_2,1120600.00,2022224.00,44.59,38.54,100.00,87.05,86.00,70.72,Moderate
PRJ_NGO_00012_1,2818200.00,5889315.50,52.15,8.93,100.00,86.93,87.50,59.08,Low
PRJ_NGO_00013_6,7495300.00,7528721.00,0.44,90.00,91.25,88.76,68.00,86.76,High
PRJ_NGO_00013_5,546200.00,758142.25,27.96,74.09,100.00,93.22,94.00,87.38,High
PRJ_NGO_00013_4,1936100.00,1885367.50,2.69,90.00,100.00,84.06,94.00,91.91,Very High
PRJ_NGO_00013_3,11130300.00,11411749.00,2.47,93.41,100.00,96.62,100.00,96.69,Very High
PRJ_NGO_00013_2,6049100.00,6566636.00,7.88,100.00,100.00,96.77,100.00,99.35,Very High
PRJ_NGO_00013_1,858900.00,1018738.88,15.69,73.62,100.00,87.41,100.00,86.93,High
PRJ_NGO_00014_6,3957300.00,3036179.00,30.34,69.32,96.50,96.60,60.00,80.17,High
