feature,gain_importance,relative_importance_pct
beneficiaries_reported,128562296258560.0,10.670044472315269
remote_disaster_interaction,98465103216640.0,8.172124027558418
duration_months,92818521456640.0,7.703485241155654
is_disaster_relief,51984488988672.0,4.314459414011764
location_district_primary_Ahmedabad,47861072920576.0,3.9722359619978205
is_remote_area,42257084317696.0,3.507132200201125
location_state_primary_West Bengal,33815479189504.0,2.8065200864101345
"primary_sector_Water, Sanitation & Environment",33753848086528.0,2.8014050050155923
sec_sector_education_and_skill_development,30944098516992.0,2.568209474634564
sec_sector_emergency_relief_and_rehabilitation,28774854819840.0,2.3881728123043335
beneficiary_density,28434046648320.0,2.359887393853706
location_district_primary_Puri,26370467954688.0,2.188620412211648
location_state_primary_Kerala,23475366395904.0,1.9483410823996794
location_district_primary_Jaipur,23156874018816.0,1.9219077662057331
location_district_primary_Coimbatore,21272180293632.0,1.7654873657489554
primary_sector_Social Welfare & Community Development,20530778341376.0,1.7039546144474154
beneficiaries_per_prior_project,20388297834496.0,1.6921294262772377
location_state_primary_Karnataka,20186010746880.0,1.6753405831727481
location_state_primary_Rajasthan,15168590315520.0,1.2589191229396133
primary_sector_Healthcare & Nutrition,15115215699968.0,1.2544892897909645
prior_max_beneficiaries,14818420457472.0,1.229856730099942
primary_sector_Emergency Relief & Rehabilitation,14764544622592.0,1.2253852981880804
ngo_age_years_at_start,14603345985536.0,1.2120065963733202
primary_sector_Education & Skill Development,14496695320576.0,1.2031551105859433
sec_sector_healthcare_and_nutrition,13501997252608.0,1.120600015269357
location_state_primary_Odisha,12956593029120.0,1.0753341209180178
prior_projects_count,12949086273536.0,1.074711096763541
location_state_primary_Tamil Nadu,12787123224576.0,1.0612689524835466
location_district_primary_North 24 Parganas,12432600727552.0,1.031845311806854
location_state_primary_Delhi,12012491898880.0,0.9969783250183846
project_scale_vs_ngo_history,11876216864768.0,0.9856681608663928
location_district_primary_Raigad,11465165635584.0,0.9515529107235958
location_district_primary_Thiruvananthapuram,11393654849536.0,0.9456178637495762
number_of_operational_districts,10970109837312.0,0.9104656904610061
villages_covered,10694144557056.0,0.8875619161909474
sec_sector_social_welfare_and_community_development,10435046670336.0,0.8660580534377085
location_district_primary_Thrissur,9923589046272.0,0.823609561513668
number_of_operational_states,9685355724800.0,0.8038373560625355
location_district_primary_Thane,9203554975744.0,0.7638502403308496
location_district_primary_Bengaluru Urban,9005057441792.0,0.7473759117247928
number_of_sectors,8637898555392.0,0.716903512270953
location_state_primary_Gujarat,8488952004608.0,0.7045416739473205
location_district_primary_Howrah,8256761626624.0,0.6852710033756753
milestones_reported,8172461883392.0,0.6782745352394715
location_district_primary_North Delhi,7979338825728.0,0.6622462619908348
location_district_primary_Udaipur,7866226835456.0,0.652858517670159
location_district_primary_Surat,7657597960192.0,0.6355433370763169
location_district_primary_Tiruchirappalli,7373010239488.0,0.6119239422416176
location_district_primary_Mumbai,7058290638848.0,0.585803748118883
location_state_primary_Maharashtra,6969694879744.0,0.5784507315875276
location_district_primary_Kolkata,6479421112320.0,0.5377603965961337
location_district_primary_Belagavi,6405283119104.0,0.5316073042220524
"sec_sector_water,_sanitation_and_environment",6283243028480.0,0.5214785710533123
location_district_primary_Darjeeling,5724922970112.0,0.47514072530893403
location_district_primary_Ernakulam,5616038313984.0,0.466103829134476
location_state_primary_Uttar Pradesh,5152025083904.0,0.42759299084998476
location_district_primary_Vadodara,4841301082112.0,0.4018044119724846
location_district_primary_South Delhi,4593490591744.0,0.38123734814519433
location_district_primary_Dharwad,4480374407168.0,0.37184925571771343
location_district_primary_Noida,4223570018304.0,0.35053574211685334
location_district_primary_Madurai,4055105273856.0,0.33655398877556064
location_district_primary_Kanpur Nagar,4014254325760.0,0.3331635590336717
location_district_primary_Cuttack,3888866656256.0,0.3227569931210893
location_district_primary_Kozhikode,3625205891072.0,0.3008744336772225
location_district_primary_Sundargarh,3374832156672.0,0.2800946330786487
location_district_primary_Prayagraj,3022935031808.0,0.2508888855052907
location_district_primary_Salem,2666114318336.0,0.2212745040560639
location_district_primary_Khordha,2054878658560.0,0.170544921101523
location_district_primary_Nagpur,1347981410304.0,0.11187589218903887
location_district_primary_Chennai,1270428467200.0,0.10543937560555788
location_district_primary_Jodhpur,0.0,0.0
location_district_primary_Kota,0.0,0.0
location_district_primary_Rajkot,0.0,0.0
location_district_primary_Mysuru,0.0,0.0
location_district_primary_Nashik,0.0,0.0
location_district_primary_New Delhi,0.0,0.0
location_district_primary_Mangaluru,0.0,0.0
location_district_primary_Central Delhi,0.0,0.0
location_district_primary_Varanasi,0.0,0.0
has_prior_projects,0.0,0.0
